company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,raised_amount_usd
/company/abide-therapeutics,Abide Therapeutics,biotech,USA,NJ,Princeton,Princeton,series-a,2011-11-18,2250180
/company/ability-dynamics,Ability Dynamics,medical,USA,AZ,Phoenix,Tempe,series-a,2012-02-20,1500000
/company/ability-network,ABILITY Network,medical,USA,MN,Minneapolis,Minneapolis,series-c+,2011-05-17,27000000
/company/abilto,AbilTo,web,USA,NY,New York,New York,series-a,2013-05-14,3000000
/company/abine,Abine,web,USA,MA,Boston,Boston,series-a,2011-07-12,5000000
/company/abiquo-group,Abiquo Group,software,USA,CA,SF Bay,Redwood City,venture,2013-04-10,3758560
/company/abiquo-group,Abiquo Group,software,USA,CA,SF Bay,Redwood City,venture,2012-06-28,3000000
/company/abizinabox,aBIZinaBOX,consulting,USA,IL,Chicago,Evanston,angel,2008-10-08,500000
/company/ablative-solutions,Ablative Solutions,biotech,USA,NJ,Fair Haven,Fair Haven,series-a,2012-06-19,5300000
/company/ablative-solutions,Ablative Solutions,biotech,USA,NJ,Fair Haven,Fair Haven,other,2013-05-20,2000000
/company/ablative-solutions,Ablative Solutions,biotech,USA,NJ,Fair Haven,Fair Haven,other,2012-03-29,3050500
/company/ablative-solutions,Ablative Solutions,biotech,USA,NJ,Fair Haven,Fair Haven,other,2012-01-04,907500
/company/ablative-solutions,Ablative Solutions,biotech,USA,NJ,Fair Haven,Fair Haven,angel,2012-01-04,5000
/company/ablative-solutions,Ablative Solutions,biotech,USA,NJ,Fair Haven,Fair Haven,other,2011-12-12,457500
/company/able-planet,Able Planet,hardware,USA,CO,Denver,Wheat Ridge,venture,2010-04-28,150000
/company/able-planet,Able Planet,hardware,USA,CO,Denver,Wheat Ridge,venture,2012-02-01,999999
/company/abodo,Abodo,real_estate,USA,WI,Madison,Madison,angel,2013-08-26,325000
